,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
PM,580.0,333.0,307.0,A,BB,BB,Philip Morris International Inc.,0.18067165135345614,0.22228442843924806,0.0,0.8127949070568162
LIN,60.0,275.0,240.0,DDD,B,B,Lindian Resources Limited,0.29962564483688364,0.24860277807323314,0.0,1.2052385221078272
UPS,510.0,240.0,301.0,A,BB,B,"United Parcel Service, Inc.",0.39131584039226647,0.3054779409264215,0.0,1.2809954106850556
SCHW,225.0,300.0,301.0,B,BB,BB,The Charles Schwab Corporation,0.3769078235986693,0.3606437551670238,4.0,1.045097324433396
T,200.0,305.0,203.0,B,B,BB,AT&T Inc.,-0.19112927316152653,0.2599327523033725,1.0,-0.7353027714585806
MS,700.0,320.0,534.0,AA,A,BB,Morgan Stanley,0.42907458564070516,0.32542595302321026,4.0,1.3185014337504373
MCD,505.0,300.0,322.0,A,BB,BB,McDonalds Corporation,0.17375722426536494,0.17720296299395216,0.0,0.9805548469936994
DHR,550.0,300.0,347.0,A,BB,BB,Danaher Corporation,0.2539920128732139,0.24934535195483315,0.0,1.0186354422970052
MRK,500.0,300.0,302.0,A,BB,BB,"Merck & Co., Inc.",0.09651252357336954,0.22182385114511394,1.0,0.4350863222108268
CRM,265.0,205.0,227.0,B,B,B,"salesforce.com, inc.",0.11762312257372852,0.39153231098634067,1.0,0.30041740942762707
ABT,520.0,300.0,321.0,A,BB,BB,Abbott Laboratories,0.14724125429170645,0.24398841421676315,1.0,0.6034764181912957
ORCL,560.0,315.0,308.0,A,BB,BB,Oracle Corporation,0.21127628806905957,0.2693912669211323,0.0,0.7842729665431707
VZ,200.0,200.0,205.0,B,B,B,Verizon Communications Inc.,-0.08417574731759286,0.1639150408088272,1.0,-0.5135327844365811
TMO,520.0,265.0,330.0,A,BB,B,Thermo Fisher Scientific Inc.,0.29947227272495874,0.26542536183686566,0.0,1.1282730129949632
ACN,580.0,315.0,386.0,A,BB,BB,Accenture plc,0.2899745145900962,0.2512423722165731,0.0,1.1541624608612424
WFC,510.0,305.0,307.0,A,BB,BB,Wells Fargo & Company,0.31480748964675,0.40135893750221674,0.0,0.784354003939457
LLY,515.0,308.0,305.0,A,BB,BB,Eli Lilly and Company,0.37580725058558356,0.32665833560285884,0.0,1.1504596994043295
NKE,205.0,200.0,258.0,B,B,B,"NIKE, Inc.",0.23246691088069793,0.3000028818896715,0.0,0.7748822591850618
PEP,552.0,310.0,342.0,A,BB,BB,"PepsiCo, Inc.",0.1493202822319304,0.162049107410803,1.0,0.9214508158529725
ABBV,510.0,309.0,344.0,A,BB,BB,AbbVie Inc.,0.31911767327936746,0.22580012487363416,0.0,1.4132750079653726
DIS,500.0,310.0,306.0,A,BB,BB,The Walt Disney Company,0.08874608487430483,0.3162043636905931,1.0,0.28066053181082323
KO,200.0,200.0,200.0,B,B,B,The Coca-Cola Company,0.19822243237651577,0.19058260675837493,0.0,1.0400866886442937
CVX,210.0,210.0,217.0,B,B,B,CEMATRIX Corporation,0.32076346958211394,0.3182844427168504,0.0,1.0077887151634015
PFE,500.0,300.0,301.0,A,BB,BB,Pfizer Inc.,0.1723842947137133,0.28034163443607185,1.0,0.6149079321039032
XOM,600.0,328.0,467.0,AA,BBB,BB,Exxon Mobil Corporation,0.38634618937349313,0.3595881858918443,4.0,1.0744129104666886
MA,210.0,215.0,230.0,B,B,B,Mastercard Incorporated,0.19905720619322081,0.3119552554948844,0.0,0.638095376458516
