,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name
AZO,220.0,200.0,214.0,B,B,B,"AutoZone, Inc."
MCHP,500.0,300.0,297.0,A,B,BB,Microchip Technology Incorporated
PH,315.0,220.0,303.0,BB,BB,B,Parker-Hannifin Corporation
A,313.0,210.0,224.0,BB,B,B,"Agilent Technologies, Inc."
CARR,210.0,226.0,258.0,B,B,B,Carrs Group plc
IDXX,553.0,305.0,401.0,A,BBB,BB,"IDEXX Laboratories, Inc."
DD,620.0,315.0,320.0,AA,BB,BB,"DuPont de Nemours, Inc."
TT,700.0,330.0,375.0,AA,BB,BB,Trane Technologies plc
HSY,510.0,305.0,300.0,A,BB,BB,The Hershey Company
MSCI,535.0,300.0,300.0,A,BB,BB,MSCI Inc.
TRV,500.0,300.0,300.0,A,BB,BB,"The Travelers Companies, Inc."
GPN,315.0,273.0,311.0,BB,BB,B,Global Payments Inc.
AFL,468.0,235.0,300.0,BBB,BB,B,Aflac Incorporated
DLR,545.0,320.0,309.0,A,BB,BB,"Digital Realty Trust, Inc."
GIS,505.0,308.0,321.0,A,BB,BB,"General Mills, Inc."
ADM,700.0,318.0,358.0,AA,BB,BB,Archer-Daniels-Midland Company
